ts,close,signal_score,score_smooth,rsi_14,bb_pctB,funding_bps,bull_regime,buy_alert,sell_alert,alert_confidence,alert_reasons
2025-02-17 09:00:00+00:00,25.493,0,0.0,0.0,,,0,0,0,0.0,
2025-02-17 10:00:00+00:00,25.833,2,0.8,0.0,,,0,0,0,0.0,
2025-02-17 11:00:00+00:00,25.724,1,0.88,74.33568785738342,,,0,0,1,80.0,Score>=sell_thr; RSI>=70
2025-02-17 12:00:00+00:00,26.171,1,0.928,87.9704081013888,,,0,0,0,80.0,Score>=sell_thr; RSI>=70; cooldown
2025-02-17 13:00:00+00:00,26.107,1,0.9568,81.30976103776517,,,1,0,0,80.0,Score>=sell_thr; RSI>=70; cooldown
2025-02-17 14:00:00+00:00,26.319,1,0.97408,85.28440485792758,,,1,0,0,80.0,Score>=sell_thr; RSI>=70; cooldown
2025-02-17 15:00:00+00:00,25.521,1,0.984448,45.801222673232424,,,0,0,0,0.0,
2025-02-17 16:00:00+00:00,24.935,0,0.5906688,33.52653182936824,,,0,0,0,0.0,
2025-02-17 17:00:00+00:00,25.045,-1,-0.04559872000000004,36.94276993637214,,,0,0,0,0.0,
2025-02-17 18:00:00+00:00,25.062,-1,-0.42735923200000003,37.4775518235543,,,0,0,0,0.0,
2025-02-17 19:00:00+00:00,25.528,1,0.1435844608,49.99640872905113,,,0,0,0,0.0,
2025-02-17 20:00:00+00:00,25.427,-1,-0.31384932352,47.764118748600715,,,0,0,0,0.0,
2025-02-17 21:00:00+00:00,25.796,1,0.21169040588800003,55.569325050883194,,,1,0,0,0.0,
2025-02-17 22:00:00+00:00,25.35,-1,-0.2729857564672,46.52118341183243,,,0,0,0,0.0,
2025-02-17 23:00:00+00:00,25.378,-1,-0.56379145388032,47.10349986707568,,,0,0,0,0.0,
2025-02-18 00:00:00+00:00,25.397,-1,-0.738274872328192,47.52108246868226,,,0,0,0,0.0,
2025-02-18 01:00:00+00:00,25.678,1,-0.04296492339691516,53.382490174038274,,,1,0,0,0.0,
2025-02-18 02:00:00+00:00,25.437,-1,-0.42577895403814914,48.39051191731932,,,0,0,0,0.0,
2025-02-18 03:00:00+00:00,25.699,2,0.5445326275771105,53.48325857518886,,,1,0,0,0.0,
2025-02-18 04:00:00+00:00,25.459,-1,-0.07328042345373373,48.73874695704261,,,0,0,0,0.0,
2025-02-18 05:00:00+00:00,26.221,3,1.15603174592776,60.66873445455716,,,1,0,0,0.0,
2025-02-18 06:00:00+00:00,25.87,3,1.893619047556656,54.389552283989346,,,1,0,0,0.0,
2025-02-18 07:00:00+00:00,25.606,1,1.5361714285339936,50.18255340349949,,,0,0,0,0.0,
2025-02-18 08:00:00+00:00,24.77,-2,0.12170285712039607,39.70825869657832,,,0,0,0,0.0,
2025-02-18 09:00:00+00:00,23.776,-2,-0.7269782857277624,31.333904288966934,,,0,0,0,0.0,
2025-02-18 10:00:00+00:00,23.87,-2,-1.2361869714366573,32.77771388678134,,,0,0,0,0.0,
2025-02-18 11:00:00+00:00,23.935,-1,-1.1417121828619945,33.814056886251564,,,0,0,0,0.0,
2025-02-18 12:00:00+00:00,24.028,-1,-1.0850273097171967,35.34978553240926,,,0,0,0,0.0,
2025-02-18 13:00:00+00:00,24.626,-1,-1.051016385830318,44.299527631817305,,,0,0,0,0.0,
2025-02-18 14:00:00+00:00,23.912,-1,-1.0306098314981909,37.60568149833326,,,0,0,0,0.0,
2025-02-18 15:00:00+00:00,23.446,-1,-1.0183658988989146,33.99518876465447,,,0,0,0,0.0,
